index,medicament,avis_clean
15,abilify,abilify 300 mg tous les 28 jours effets secondaires troubles de la sensibilite grosse perte de force musculaire n arrive plus a reflechir et a se concentrer correctement plus aucun elan vital coupe de toutes envies et motivation sensation de vide finalite grosse depression sous ce traitement retard j ai tout essaye comme traitement anterieurement plus rien ne marche si ce n est que des effets secondaires handicapants qui en ressortent merci pour votre attention courage a vous n hesitez pas a venir en discuter avec moi si vous le souhaitez cdl
16,abilify,c est un medicament qui ne m a absolument rien apporte de bon il ne favorise pas le sommeil mais l endormissement ce qui est completement different je le prenais a la place de la quetiapine et certains malades dont moi meme se sont retrouve sans traitement pour ce qui est de l abilify aucun changement notable sur mes troubles bipolaire
17,abilify,tout les medicament le soir en 1 prise egal meilleur qualite de vie
18,abilify,mon fils de 19ans prend abilify 400 mg tout les 28 jours en injection je ls trouve long beaucoup des tic et des toc il mange plus que avant pris du poid et beaucoup lontalgie jai remarquer tout ca sur mon fils et ca fais quelque mois qil a arretet de prendre antidepresseur le citalopram
19,abilify,bonjour quand je prenais ce medicament j avais tout le temps envie de manger resultat je suis une petite baleine et encore ma psychiatre me dit que c est pas le pire j en ai eu un autre mais je ne sais plus le nom d ailleurs je perds la memoire est ce dut au medicament ou a ma maladie a part ca quand je prenais abilify en 25 mg j avais la jambe qui se bloquait
20,abilify,bonsoir je prends de l abilify 5 mg depuis deux semaines en diminuant le teralithe qui me faisait trembler je me sens beaucoup mieux je suis en phase haute par contre j ai l impression qu il m ouvre l appetit a voir sur le long terme
21,abilify,j etais devenu paranoiaque et grace abilfy10 mg je vais beaucoup mieux je ne suis plus agoraphobes pour l instant ni paranoiaque je n ai pas d effet indesirable a part une fatigue donc je le prends le soir ce qui me permet d eviter cauchemar d avoir une nuit calme je prends aussi de l effexor 75 mg lp du prazepam 10 mg du parkinane lp 2 mg et oui je suis bourre de tic et de toc du zopiclone pour dormir 7 5 mg depacote 500 mg et le plus chronodorm comprime flash pour l endormissement c est de la melatonine hormone naturelle du sommeil dose a 1 9 mg sans dependance et sans accoutumance pour dormir une heure avant l ideal je pensais faire une depression nerveuse et en fait ce n etait que de la bipolarite cela fait 10 ans que je me fais soigner et quand un medicament n est plus efficace je pense que l on peut avoir des soucis de accomodite mon psychiatre me le change on essaye le bon dosage ce n est pas tous les jours facile mais je pense que ca vaut le coup ca n evite pas les up ou down mais la j ai je suis fiere de moi je remonter la pente toute seule en donnant le bon coup de talon et voila j espere que mon experience pour en faire profiter d autres ne pas avoir peur de cette maladie et faites vous aider par votre entourage parlez en avec des proche anti vous avez toute confiance ceci est un conseil d amie et oui j ai ete suivi pendant 20 ans pour des depression saisonniere car la bipolarite seul un psychiatre peut poser un diagnostic dans la bipolarite il faut aussi traiter les moments depressifs donc l abilify ne suffit pas je pense il faut aussi un stabilisateur d humeur comme le depacote le tegretol etc etc bonne soiree a tous courage les amis
22,abilify,prendre l abilify le soir
23,abilify,je prends 30mg d abilify des annees a 15mg puis augmentation il y a deux ans quid de savoir si c est la maladie ou le traitement qui fatigue prise de poids pourquoi le taire mais c est le prix a payer pour aller mieux la question que je me pose c est quelle marge de manoeuvre il me reste si je rebascule compte tenu du dosage au taquet
24,abilify,moi ca fais 4 mois que je prenais abilify 300 j ai plus des psychose mais j ai une depression grave je pleure pour rien j arete pas de bouger je ne sais pas quoi faire je vais demander a mon psy un autre medicament
25,abilify,je prends de l abilify depuis septembre 2022 et j en suis tres satisfaite je me sens tres stable equilibree plus que sous d autres traitements ou je rechutais systematiquement tous les ans voire plus aucun arret de travail donc petite victoire pour ces 1 an et demi sans rechute les debuts ont ete tres difficiles mais dus aux faits que j ai switche de la quietapine qui n agissait plus vers l abilify rechute mixte a ce moment la avec du recul je dirais que les effets negatifs vraiment dus a l abilify etaient impatiences dans les jambes perte du controle des impulsions achats ceux positifs regain net d energie disparition progressive des symptomes mixtes irritabilite et surtout sensation de revivre car plus du tout cassee comme sous quietapine et ceux dus au sevrage de la quietapine insomnies mal etre angoisses j ai depuis une nette amelioration sous abilify j apprecie les effets qu il a sur moi regain d energie plus du tout fatiguee avec des nuits normales de 8h a 9h au debut avec l aide d un somnifere habituee a la quietapine qui me sedatait enormement aucune prise de poids au contraire j ai perdu quelques kilos surtout grand retour de mon intuition j etais trop cassee avec la quietapine aucun symptomes mixtes en revanche effet secondaire de l acne je ne l ai vu nulle part mais j ai 39 ans donc pas a l age de faire de l acne hormonale et quelques problemes lies a l impulsivite voir ci dessous j ai pu arreter l antidepresseur que je prenais depuis 10 ans et maintenant avec du recul je dirais de faire attention aux effets de deshinibition de l antidepresseur couple au probleme d impulsivite de l abilify qui m ont cause quelques soucis que je dois traiter aujourd hui avec un psychologue car angoisses et culpabilite en consequences actuelles en resume tres bon medicament passe les premieres semaines difficiles mais plus dues au sevrage de la quietapine et a la crise mixte qu a l abilify a proprement parler stable au point que j en oublierai presque de le prendre attention a l impulsivite et aux problemes de peaux sinon pas de soucis
26,abilify,je prends ce medicament depuis janvier 2024 il a considerablement ameliore ma qualite de vie en reduisant fortement l immense sentiment de vide que je ressentais depuis au moins 5 ans de plus je n ai aucun effet secondaire il a meme booste ma libido
27,abilify,j ai commence a le prendre le soir a la place du matin et j ai passe une nuit horrible reveil intempestif toutes les 2 3h difficulte a trouver le sommeil sommeil agite quand il arrive enfin un rien me reveille et au moment du leve grosse sensation de vertiges fatigue tete lourde trouble de la vision alors apres 5h eveillee certains effets se sont legerement dissipes et ne sont moins handicapants le cote tete lourde s est calme les vertiges lenteur aussi mais j ai promene mon chien a 2 a l heure ce matin le pauvre lorsque je le prenais le matin je passais la journee dans un brouillard monstre avec une sorte de filtre emotionnel j etais vide pas super agreable et agitee aussi globalement le plus genant c est la perte d acuite visuelle les agitations insomnies mais je ressens un reel apaisement de ma pathologie mes crises psychotiques sont moins violentes et mes humeurs plus stables je suis cyclothymique donc les phases depressives et d hypomanie j en ai plusieurs par jour un regal mais je ne fais pas de manie seulement de l hypo et parfois j ai des phases mixtes
28,abilify,medicament efficace mais qui fatigue j ai l impression et insomnies qui je me pose la question viendrai des effets secondaires de ce medicament y a til des patients qui ont le meme souci avec ce traitement merci d avance pour vos reponses cris123
29,abilify,bonjour a tous mon psychiatre dit que je suis bipolaire je n ai pas l impression de l etre mais il m a prescrit de l abilify je vois tout les effet secondaire et avis et ca me fait un peu peur du coup je ne le prend pas je prend du temesta 3 fois par jours et ca calme mes angoisse si vous pouvez me donner votre retour sur abilify je veux bien
30,abilify,ne commencez jamais ce medoc impossible de se sevrer
31,abilify,une vraie saloperie a ne jamais prendre m a rendu grabataire heureusement que neurologue et medecins ont reussi a convaincre les psychiatres de l arreter depuis j ai recupere mes capacites je suis soigne pour bipolarite petit frere
32,abilify,l abilify est un traitement lourd qui coupe la libido rend zombie constipe provoque des insomnies et fatigue enormement sous le traitement on a envie de rien faire meme se faire a manger c est fatiguant sous oublier la prise de poid bref une cochonnerie de medicament
33,abilify,bonjour pour ma part tout s est bien passe au debut du traitement je l ai bien supporte ensuite cela s est complique notamment en augmentant la dose avec des crises suicidaires impulsives j ai vu que c etait dans les effets secondaires j ai baisse le traitement a 5 mg je compte l arreter
34,abilify,je ne suis pas sure qu il marche j ai fait quand meme des depressions sous traitement
35,abilify,je ne sais pas si ma prise de poids a un rapport avec ce medicament
36,abilify,avec mon psychiatre je l ai arrete
37,abilify,et si des gens veulent echanger sur le trouble ou autre n hesitez pas
38,abilify,bonjour avec tous mes differents traitements psychiatriques pour ma bipolarite 2 depuis decembre 2005 j ai etudie tous les neuroleptiques pris antipsychotiques typiques ou atypiques et j ai decide de prendre de l abilify aripiprazole pour voir si j obtiens une baisse de poids significative poids en 2005 85 kg et fin 2017 138 six mois de clinique psy 86 kg en juin 2018 fin 2022 136 kg d ou j ai vire la quetiapine 150 a 300 mg suivant saison precision importante j ai le smn syndrome malin des neuroleptiques pour l haldol haloperidol et le lithium me fait trembler meme avec un anti parkinsonien cette nuit je suis un peu nauseeux car vaccin anti grippal verification de la non allergie des noix et debut de l abilify pris a 21 heures ce qui fait beaucoup pour un seul jour
39,abilify,pour moi l abilify associe au lamictal me va tres bien depuis plus de 10 ans le probleme etant pour moi surtout la prise de poids du peut etre aussi aux medicaments precedents de plus j ai pu avoir une petite fille sous ce medicament ce qui n est pas possible avec la depakine et etc le lamictal joue sur moi comme un antidepresseur alors que l abilify me permets de ne pas faire de crise maniaque ou meme de bouffee delirante j en suis satisfaite
40,abilify,prise de ce medicament depuis peu je sens comme une legere amelioration ce medicament sert en quelque sorte de bequille pour ma part mais depuis peu j ai developpe d anxiete une sensation etrange et de la fatigue
41,abilify,je prenait ce medicament suite a ma maladie bipolaire avec hallucinations j ai vite dechanter trop d effet secondaires constipation crise de panique violente envie d uriner sans arret palpitations aggravation de mes allergies fatigue extreme tous le temps envie de manger j ai decide de l arrete depuis 5 jours et je commence a aller mieux moins de crise de panique et je peux retourner a la selle ce medicament a plus aggrave mon etat de sante que autres choses j ai rdv chez mon psychiatre vendredi je verrai bien en bref je le deconseille vivement un vrai poison ce medoc
42,abilify,bonjour je dois arreter l abilify trop d effets secondaires impatiences dans les jambes crise de boulimie le soir apres le repas avec hyper salivation prise de poids une vraie merde en plus je le prends depuis des annees j ai peur du sevrage mon psy m a conseille d augmenter le teralithe 400 qu en pensez vous je suis bipolaire de type 1 what do you want to do new mailcopy what do you want to do new mailcopy
43,abilify,je prends 400mg d abilify maintena en injection tous les 28 jours depuis environ 4 ans donc pas de risque d oublier le traitement pour les effets secondaires je prends 5mg de parkinane chaque matin
44,abilify,j ai pense arreter ce medoc puis finalement sur avis medical j ai decide de continuer en faisant confiance a ma toubib ce n est pas parfait mais presque ca donne de bons resultats dans la duree une dizaine d annees maintenant depuis que j ai ce traitement j ai pu arreter les ad effexor xeroquel termine lexomil termine je ne sais pas si je vais bien vieillir avec ce traitement a vie peut etre debilitant mais on verra bien j ai lu que l esperance de vie des psychotiques sous traitement etait possiblement de 15 a 20 ans de moins que la moyenne generale
45,abilify,hello personnellement je suis a 10 mg et je pense que je le tolere bien cependant je ne sais pas si c est liee mais j ai une perte d appetit depuis quelques temps
46,abilify,il m a ete prescrit de l aripiprazole 5mg a prendre le matin dans le but de me dynamiser j ai observe que j etais plus agitee anxieuse et que je dormais moins bien
47,abilify,abilify bipolarite et diabete mon retour d experience et decision de changement bonjour a toutes et a tous je souhaite partager ici mon experience avec l abilify 400 mg en injection mensuelle administre tous les 28 jours dans le cadre de la prise en charge de mes troubles bipolaires et les effets metaboliques preoccupants que j ai observes depuis plusieurs annees quelques mois apres le debut des injections j ai developpe un diabete de type 2 alors que je n avais jamais eu de desequilibre glycemique auparavant j ai alors arrete le traitement et ma glycemie est revenue a la normale malheureusement j ai connu une rechute de type maniaque et on a du me reintroduire l abilify en 2022 depuis cette reprise mon hba1c est passe de 6 a 9 en peu de temps les traitements oraux pour le diabete n etaient plus suffisants j ai ete mis sous insuline lente puis recemment sous insuline rapide et malgre cela ma glycemie reste instable elle baisse surtout grace au sport ou a la marche mais pas suffisamment avec l insuline seule j ai donc tire une conclusion personnelle appuyee par mon ressenti et l evolution de mes analyses je presente une hypersensibilite metabolique a l abilify qui semble perturber fortement ma regulation glycemique ce medicament peut effectivement aggraver ou declencher un diabete chez certains patients et cela semble etre mon cas aujourd hui je suis fatigue par l accumulation des effets secondaires lies a l hyperglycemie soif fatigue peau seche etc mon objectif est de sortir de ce cercle vicieux avec l accord de mon psychiatre que je remercie pour son ecoute nous avons decide de passer a l abilify par voie orale a partir du 3 juillet 2025 reduire progressivement la dose et observer de pres l evolution aussi bien sur le plan psychiatrique pour eviter une decompensation maniaque que metabolique glycemie bien etre general je suis conscient que ce changement demande vigilance mais je tiens a reprendre le controle de ma sante car a force de traiter les symptomes sans creuser les causes on s enlise je partagerai ici l evolution de ma glycemie apres l arret des injections pour ceux que cela pourrait interesser merci de m avoir lu
48,abilify,je prends l abilify 300 mg en injection toutes les 4 semaines a part la prise de poids et une baisse de libido ce medicament a change ma vie je pense que chaque traitement agit differemment selon la personne et que comparer un medicament par rapport a une autre personne pour la meme maladie n est pas constructif car j ai vu d autres bipolaires avec le meme traitement que moi qui ne sont pas satisfaits de ce medicament alors que pour moi ca m a sauve je suis stabilisee depuis 2019
49,abilify,je n ai pas pu le supporter avec beaucoup impatience insupportables que j ai ete obligee d arreter pour de la quetiapine 50 mg en liberation immediate en preparation magistrale 22h le soir et dodo jusqu a 7 a 8 heure sedatif mais pas mal prener soin de vous tous
50,abilify,j ai pris de 2005 a 2020 de la resperidone mais ce medicaments devait m etre donne a 6 mg par jour c est le maximum de la dose pour un trouble bipolaire mais j allais bien si je prenais 30 mg d olanzapine avec ca mais la resperidone a comme effet secondaire de diminuer la libido c est a dire le desir sexuel beaucoup de medicaments psychiatrique ont cet effet secondaire mais la resperidone est le medicament qui augmente le plus le taux de prolactine la prolactine est une hormones qui est secretee lorsque les femmes sont enceinte et plus elles avancent dans leur gestation plus la prolactine augmente afin de participer a la secretion de lait par les glandes mammaires la dopamine qui est abaissee lorsque que l ont prend un neuroleptique va faire augmenter la prolactine meme chez l homme et la resperidone est la championne pour castre un pedophile alors mon medecin m a diminuer de 6 a 2 mg et j ai immediatement vu que c etait l enfer j avais rencontre une femme et j ai pu coucher avec elle et meme ejaculer ce qui avec mes autres medicaments et 6 mg de resperidone etait meme pas quelque chose qui me passait par la tete j ai ete remis a 6 mg apres une phase maniaque peu apres avoir descendu a 2mg j ai change pour 15 mg d abilify et j ai immediatement vu que c etait plus facile pour moi d avoir une relation sexuelle avec abilify aucun effet secondaire j ai mon poid sante mais j ai toujours le gout de manger du sucre
51,abilify,bonjour sous abilify depuis 2012 j ai bien sur pris 50 kg j ai essaye sans abilify au secours le deuil est fait de mon ancienne apparence et je fais au mieux bilan de sante general bon c est le moins pire des antipsychotiques a mon sens bon courage a celles et ceux qui vivent la maladie psychique
52,abilify,je suis a 15 mg mais je serais peut etre mieux a un plus haut dosage je sais que ma psychiatre m a dit qu elle pouvait augmenter jusqu a 30mg
53,abilify,presque 4 ans maintenant sous aripiprazole en plus de la sertraline au debut l akathisie etait insupportable je n arrivais meme pas a dormir ou a regarder la tele en diminuant les doses la sensation instoppable de vouloir bouger mes jambes s est apaisee mais n a pas completement disparu je suis aussi devenu tres paresseuse tout le temps ayant envie de manger incapable de reflechir rapidement ou de memoriser pour longtemps en plus du fait que je ne ressens plus d apaisement du coeur comme si il y avait une pierre a la place je suis entrain de reduire le medicament avec mon medecin car il faut toujours reduire bien lentement avant d arreter pour eviter les symptomes de sevrage
54,abilify,entame un tcc avec une psychologue qui fait aussi de l hypnose a voir si c est mieux que ma psy du cmp de mon coin
55,abilify,j ai remplace le risperdal 6mg par abilify 15 mg j ai immediatement vu une augmentation de ma libido qui depuis 15 ans avec risperdal j etais completement celibataire a vie loll
56,abilify,malheureusement ne me convient pas
57,abilify,j ai note une prise de poids avec ce traitement j ai diminue le traitement pour voir si c est lui qui cree mes appetence aux sucre avec le soutient de mon psychiatre
58,abilify,je dors comme un bebe depuis dix ans que je le prends
59,abilify,actuellement j ai 20 mg d abilfy 1 000 mg de teralithe un demi lorazepam et 1 tercian et demi le traitement a mis plusieurs mois a etre efficace mais le resultat est la je peut reprendre mon travail en esat cat et ce dans des bonnes conditions
60,abilify,il m aide beaucoup je suis persuadee stabilise les sautes d humeur et me rend plus focus et fonctionnelle
61,abilify,pour moi je ne l ai pas supporter tremblement et impatience mise en place en 5 semaine au chr et il me redonner un medicament pour palier au symptomes donc je l ai arreter de moi meme tout doucement et tout est bien mieux et sous lithium 800 trop fort pour moi plus emotions et j ai baisse jusqu a mon seuil de tolerance personnelle qui est 400 et plus de tremblement et j ai libere des emotions plus effet indesirable j ai passe par 600 mg encore des effets secondaires si mon temoignage peut aides les traitements sont indispensables mais s est le seuil de tolerance de chaque medicament qui est propre a chacun bon courage
62,abilify,je prends 10 mg d abilify depuis janvier 2024 ce medicament a considerablement ameliore ma qualite de vie en attenuant fortement l immense sentiment de vide insupportable que je ressentais depuis au moins 5 ans et en m aidant a recuperer mes pensees je prenais 600 mg de quetiapine avant de plus je n ai aucun effet secondaire et il a meme booste ma libido
63,abilify,attention aux surdosages
64,abilify,je prends abilify depuis bientot deux ans en remplacement du zyprexa c est mon psychiatre qui a decide cela afin de m aider a ne pas grossir je le supporte bien malgre quelques insomnies prise de theralene
65,abilify,je prends de l abilify pour la gestion de mes changements d humeur dans le cadre d un trouble de personnalite etat limite borderline depuis a peu pres 2 mois et demi effectivement je ne traverse plus de changements d humeurs brutaux au cours d une meme journee en revanche je suis constamment fatigue et mon humeur connait un nivellement par le bas irritabilite constante en raison des effets qui me rendent amorphe sans envie sans desir m empechent de me concentrer sur un livre ou des films et le tout me met en etat de colere constante reduisent aussi mon temps de sommeil je suis debout a 5h tous les matins je ne prends qu une faible dose mais j ai le sentiment d un enfermement psychique et emotionnel
66,abilify,je deconseille
67,abilify,me fait oublier pratiquement toutes les choses que j ai apprises je me sens vide aussi et m empeche de reflechir avec lucidite pas normal qu on t oblige a t injecter un produit non naturel dans les veines
68,abilify,j ai des insomnies avec ce medicament abilify ma psychiatre me donne du xanax mais il ne me convient pas etat comateux et perte de memoire en plus je ne dors qu une heure avec pour ne plus dormir apres avec le xanax alors je l ai arrete g essaye la melatonine en comprimes et ca va mieux et vous que prenez vous pour dormir avec labilify 5 mg
69,abilify,medicament qui avait ete mis apres le risperdal pour un trouble de la personnalite borderline je pensais que ce serait plus efficace mais deja il ne calme pas la colere il ne calme pas du tout l impulsivite je me scarifiais tous les jours plusieurs fois par jours avec ne m a pas empeche de faire une imv sous le coup du sentiment de vide et d angoisse tres intense ne stabilise pas les emotions bref ca a ete inutile pour moi dans mon trouble borderline je prenais 15mg et apres je suis repasse au risperdal 3mg puis 4mg depuis ca va beaucoup mieux reduction drastique des scarifications des idees suicidaires des mouvements emotionnels de la colere et de l angoisse bref vraiment l abilify est moins efficace que le risperdal sur moi l avantage c est qu il ne fait pas grossir contrairement a l autre
70,abilify,de mon cote l abilifly m a sauvee une partie de ma vie d abord elle m a permis de stopper les psychoses totalement mon cerveau est revenu a la normale sur ce point ci et cela me permet de vivre normalement et retrouver le gout du quotidien seul souci il m agite enormement c est un point positif au niveau de mes anxietes qui m empechaient d agir et m epuisaient au plus au point et de mes troubles du sommeil avant je dormais entre 12 et 14h par nuit en etant totalement epuisee au reveil a present je dors entre 8 et 10h par nuit ca a un peu baisse c est deja ca et me reveille en forme normalement je ne pensais plus que ca pourrait m arriver un jour j ai l impression qu il agit plus comme un stimulant qu un anti psychotique pour ma part mais malheureusement il aggrave mon hyperactivite me rendant pile electrique sans savoir quoi faire et me plongeant dans un ennui profond ce n est pas grave et seulement temporaire j espere car je compte arreter au plus vite pour ne plus prendre aucun medicament j espere que mon cerveau sera eduque apres ca niveau poids j en ai pris mais deja avant la premiere prise depuis je n observe pas d evolution ou de degression de mon poids ni de mon appetit je ne pense pas avoir les effets secondaires de grossissement et de faim amplifiee tres satisfaite de mon cote de retrouver l energie et le gout des choses finalement c est possible merci abilifly et j espere ne plus avoir besoin de toi tres bientot
71,abilify,je reagis tres bien a ce medicament que j ai pris a 10mg puis a 5mg
72,abilify,je reagis tres bien a ce medicament il me sauve
73,abilify,j aurai du l appuyer avec du tercian cyamemazine le jour mais il fallait changer d isrs et supprimer l atarax hydroxyzine pour les douleurs sternales
74,abilify,suite a mon hospitalisation pres de 14 ans apres la 1ere je reviens vers l abilify un jour on croit ne plus avoir besoin de neuroleptique pour moi il en faut j ai souvent du mal a etre modere je commence a collectionner les burnouts 3 actuellement 1 en informatique et 2 dans mon metier actuel de paysagiste je me me remet je sais que je risque de me casser encore a vouloir travailler mais c est quelque chose qui fait parti de moi
75,abilify,effets negatifs extremement graves perte des reflexes devenue presque grabataire besoin d aide pour les transferts couche debout assis debout difficulte tres importante a la marche avec besoin d un rollator voix rauque difficulte au niveau de la miction constipation perte d equilibre
76,abilify,ayant de l abilify en injection j ai de gros soucis pour reflechir et penser par moi meme avec ce medicament qui fait me sentir encore plus mal dans ma tete contrairement a la plupart qui ont constamment des envies de nourriture avec prise de poids je n ai pas beaucoup d appetit j aimerais plus en avoir mais je suis pas sur que mon medecin acceptera vraiment du poison ce medicament
77,abilify,groseffets indesirables tout le temps faim prise de poids agitation extreme importants troubles du sommeil egalement une certaine somnolence diurne bouffes d idees suicidaires pleurs donc sous 20 mg d abilify jesouffre de bipolarite en plus je prends du lithium 600 mg par jour tres mecontente d abilify je vais demander a mon psy de changer
78,abilify,jen ai pas d astuces beaucoup d effets indesirables assez mecontent mais pas d autre solution d apres mon psy
79,abilify,cela fait maintenant 3 semaines que je suis sous abilify mon psychiatre me l a prescrit pour calmer mon agitation tres honnetement j ai d effets secondaires que positifs j ai l impression que mon anxiete augmente et que mon agitation aussi je ne ressens plus l envie d aller dormir aussi
80,abilify,le probleme avec l abify ce sont les tremblements et les pertes de memoire a part ca pas plus pas moins mais evite bien lui periode de psychotique
81,abilify,je ne suis pas convaincue par abilify si j en prends pas j ai certains troubbes si j en prends j aindes gros effets secondaires que faire je n ai pas vraiment de solution et mon psy est persuade que ca va aller mieux
82,abilify,pour ma part c est un medicament qui me convient bien il m a permis d arreter les symptomes d une crise aigue et m empeche de rechuter j en prends 10mg le matin
83,abilify,j ai pris abilify 20 mg pour traiter une depression severe tres utile pas de prise de poids si on mange equilibre juste une fatigue est a souligner associe a effexor 3 x 75 mg et xanax je remonte la pente tout doucement
84,abilify,personnellement la bilify me correspond le mieux apres avoir teste pratiquement toute la pharmacopee je suis traite avec ce produit depuis 2017 je n ai pas change de poids je pratique du sport regulierement il est vrai que je suis un peu fatigue mais je fais avec c est vrai que parfois j ai des phases depressives mais c est la maladie qui veut ca la aussi je fais avec je souhaite pas changer de traitement il me convient tout a fait j ai abilify maintena 300 mg et je n ai pas d effets secondaires notable ni tremblement peut etre parfois des problemes de memoire mais j utilise des penses betes
85,abilify,je rejoins la plupart des internautes ici sur les problemes rencontres avec l abilify depuis que je le prends j ai pris enormement de poids car j ai litteralement tout le temps faim d aliments gras sucres ou sales tout ce qu il ne faut pas je fais des crises d hyperphagie importantes de plus je me sens beaucoup plus nerveuse je tremble en permanence et je ne fais que bouger mes jambes sans m en rendre compte parfois mon medecin m a dit que plus il etait faiblement dose plus il etait efficace sur l humeur je n en crois pas un mot du moins il n a pas eu cet effet sur moi je vais lui demander de le remplacer par de l amisulpride apparemment beaucoup plus efficace
86,abilify,tca depuis que je le prenais trouble du comportement alimentaire grosse prise de masse corporelle beaucoupde trouble bipolaire au debut du traitement je l ai arrete ainsi que tout les autres traitements et ca ne va pas mieux mais mon etat ne sait pas encore degrader je trouve qu il a aucun interet dans mon cas depression severe
87,abilify,un medicament qui ne convient pas a tout le monde en tous cas a moi pas du tout je ne l ai jamais vraiment supporte il me rendait plus dingue qu autre chose apres plus de 6 mois j ai arrete de moi meme et repris mon ancien traitement solian et depamide ma psychiatre a alors vu que j allais mieux et m a laisse faire depuis je ne prend meme plus que le solian et je vais bien apparemment le depamide ne me servait a rien en cas de crise je prend de la camomille plus solian et je vais bien
88,abilify,ce traitement m a ete prescrit car j ai eu des hallucinations auditives et visuels ainsi que une grande tendance a interprete des comportements ou des propos et du coup me sentir presque persecutee le traitement est globalement efficace mais le loxapac associe me permet de me recentrer positivement sur moi ainsi qu une bonne therapie
89,abilify,je ne sais pas si ma prise de poids a un rapport avec ce medicament
90,abilify,trop d effet indesirables pour ma part jambes sans repos et impatience associe avec le brentelix j ai tout arreter et pour l instant tout va mieux dommage car bien stabiliser avec
91,abilify,m a provoque une acne jamais observee auparavant mais c est tout globalement le medicament me convient largement mais les effets indesirables chez certaines personnes peuvent etre assez embetants et c est un euphemisme selon mes observations
92,abilify,what do you want to do new mailcopy
93,abilify,photophobie impatiences et non couverture du risque de pic maniaque pas de prise de poids me concernant pas non plus d inhibition des affects
94,abilify,impatiences photophobie et intolerance au lactose
95,abilify,fait prendre du poid
96,abilify,addiction immediate sevrage impossible un conseil ne jamais commencer
97,abilify,addiction immediate sevrage impossible un conseil ne jamais commencer
98,abilify,prise de poids avec abilify
99,abilify,arrete ce medicament depuis deux ans pas d effet et surtout grossissement
100,abilify,prise de poids mais sinon tout va bien
101,abilify,m a fait du bien mais malheureusement me fait manger plus que la normal donc prise de poids
102,abilify,suite hospitalisation en mars 2019 avant l hospitalisation j avais abilify mais en 5mg mais mes associations d idees et mes troubles sckyso affectif on pris le dessus suite hospitalisation de 10jours mon traitement abilify et passe a 2 cachets par jour de 10mg et ceci associe avec 1 comprime prozac le matin et un comprime temesta au couche depuis je vais beaucoup mieux et retrouve joie de vivre meme si je sais que ce type de traitement c est a vie le moral pour affronter les difficultes est plus solide bien sure l appetit peut etre une contrainte mais etant mieux dans mon etre je suis en train de suivre les conseils dietetique pour limiter la prise de poids chaque cas est differant mais pour mon cas ca fonctionne
103,abilify,ce medicament n a pas empeche une nouvelle crise maniak
104,abilify,aucuns effets secondaires si ce n ai quelques contractures musculaires au debut du traitement mais qui disparaisse a l aide d un anxiolytique ceresta pour ma part stabilise vraiment en ceux qui me concerne aucunes prises de poids plutot une perte
105,abilify,traitement en prise avec pour effets secondaires des crises d angoisses importantes plusieurs fois par jour et avant l endormissement prise de poids fatigue et beaucoup moins d energie j ai du abandonner le sport pour pouvoir m occuper de moi meme et de mes enfants le tout n etait plus possible castration de mes pensees creatives pensees suicidaires accrues
106,abilify,perte d emotions et d humanite j ai change pour depakote et tout va mieux depuis
107,abilify,effets secondaires tremblements et prise de poids
