url,comment
https://www.carenity.com/donner-mon-avis/medicaments/abilify-4,"Bonjour ici !Voila suite à une dépression avec idée noires , que j’ai eu depuis janvier 2015 j’étais sous paroxetine 20 mg et abilify 10 mg , en juillet 2020 je suis passé à 5 mg , cependant des fois y’a des jours je ne prend pas abilify et je suis mieux concentrer en formation et tout….D’´ailleurs je donnerai tout pour l’arrêter…. Après je me dis faut quand même que je le reprenne mais depuis Avril 2024 je suis passé de 5mg à 2,5 mg mais j’aimerais sincèrement l’arrêter complètement, j’ai remarqué que je tremblais trop en le prenant, je stresse pour rien , je suis à l’ouest j’ai du mal à me concentrer etc…. A votre avis c’est possible arrêtez ce médicament un jour ? 
merci d’avance !"
https://www.carenity.com/donner-mon-avis/medicaments/abilify-4,"Abilify 300 mg tous les 28 jours.
Effets secondaires: troubles de la sensibilité, grosse perte de force musculaire, n'arrive plus a reflechir et a se concentrer correctement, plus aucun élan vital ( coupe de toutes envies et motivation ), sensation de vide.
Finalité grosse dépression sous ce traitement retard, j'ai tout essayé comme traitement antérieurement, plus rien ne marche si ce n'est que des effets secondaires handicapants qui en ressortent.
Merci pour votre attention, courage a vous, n'hésitez pas a venir en discuter avec moi si vous le souhaitez. Cdl"
https://www.carenity.com/donner-mon-avis/medicaments/abilify-4,"C'est un médicament qui ne m'a absolument rien apporté de bon. Il ne favorise pas le sommeil mais l'endormissement ce qui est complètement différent, je le prenais à la place de la quétiapine et certains malades dont moi même se sont retrouvé sans traitement. Pour ce qui est de l'abilify aucun changement notable sur mes troubles bipolaire."
https://www.carenity.com/donner-mon-avis/medicaments/abilify-4,tout les medicament le soir en 1 prise egal meilleur qualite de vie
https://www.carenity.com/donner-mon-avis/medicaments/abilify-4,Mon fils de 19ans prend abilify 400 mg tout les 28 jours en injection je ls trouve long beaucoup des tic et des toc il mange plus que avant pris du poid et beaucoup lontalgie .jai remarquer tout ca sur mon fils et ca fais quelque mois qil a arretet de prendre antidepresseur le citalopram .
https://www.carenity.com/donner-mon-avis/medicaments/abilify-4,"Bonjour quand je prenais ce médicament j'avais tout le temps envie de manger résultat je suis une petite baleine et encore ma psychiatre me dit que c'est pas le pire, j'en ai eu un autre mais je ne sais plus le nom( d'ailleurs je perds la mémoire est ce dut au médicament ou a ma maladie a part ça quand je prenais abilify en 25 mg j'avais la jambe qui se bloquait."
https://www.carenity.com/donner-mon-avis/medicaments/abilify-4,"Bonsoir,
Je prends de l'abilify 5 mg depuis deux semaines, en diminuant le téralithe qui me faisait trembler. Je me sens beaucoup mieux, je suis en phase haute. Par contre, j'ai l'impression qu'il m'ouvre l'appétit... A voir sur le long terme."
https://www.carenity.com/donner-mon-avis/medicaments/abilify-4,"J’étais devenu paranoïaque, et grâce Abilfy10 mg je vais beaucoup mieux, je ne suis plus agoraphobes. Pour l’instant ni paranoïaque. je n’ai pas d’effet indésirable à part une fatigue donc je le prends le soir ce qui me permet d’éviter cauchemar d’avoir une nuit calme. Je prends aussi de l’Effexor, 75 mg LP , du Prazépam 10 mg du Parkinane LP, 2 mg ( et oui je suis bourré de tic et de toc) du zopiclone. Pour dormir 7,5 mg ,depacote , 500 mg et le plus chronodorm comprimé flash pour l’endormissement, c’est de la mélatonine, hormone naturelle du sommeil dosé à 1,9 mg sans dépendance et sans accoutumance pour dormir une heure avant l’idéal je pensais faire une dépression nerveuse et en fait ce n’était que de la bipolarité. Cela fait 10 ans que je me fais soigner, et quand un médicament n’est plus efficace. (je pense que l’on peut avoir des soucis de accomodite Mon psychiatre me le change on essaye le bon dosage ce n’est pas tous les jours facile mais je pense que ça vaut le coup. Ça n’évite pas les up ou Down, mais là j’ai je suis fière de moi je remonter la pente toute seule en donnant le bon coup de talon et voilà j’espère que mon expérience pour en faire profiter d’autres ne pas avoir peur de cette maladie et faites vous aider par votre entourage, parlez-en avec des proche anti, vous avez toute confiance. Ceci est un conseil d’amie. Et oui, j’ai été suivi pendant 20 ans pour des dépression saisonnière car la bipolarité seul un psychiatre peut poser un diagnostic. dans la bipolarité, il faut aussi traiter les moments dépressifs. Donc l’abilify ne suffit pas, je pense. Il faut aussi un stabilisateur d’humeur comme le depacote le Tegretol. Etc. etc. bonne soirée à tous courage les amis"
https://www.carenity.com/donner-mon-avis/medicaments/abilify-4,Prendre l’abilify le soir
https://www.carenity.com/donner-mon-avis/medicaments/abilify-4,"Je prends 30mg d'Abilify, des années à 15mg, puis augmentation, il y a deux ans. Quid de savoir si c'est la maladie ou le traitement qui fatigue...Prise de poids, pourquoi le taire, mais c'est le prix à payer pour aller mieux.La question que je me pose c'est: quelle marge de manœuvre il me reste si je rebascule compte tenu du dosage au taquet?"
https://www.carenity.com/donner-mon-avis/medicaments/abilify-4,Moi ça fais 4 mois que je prenais abilify 300 j'ai plus des psychose mais j'ai une dépression grave je pleure pour rien j arete pas de bouger je ne sais pas quoi faire je vais demander à mon psy un autre médicament
https://www.carenity.com/donner-mon-avis/medicaments/abilify-4,"Je prends de l'abilify depuis septembre 2022, et j'en suis très satisfaite. Je me sens très stable, équilibrée, plus que sous d'autres traitements où je rechutais systématiquement tous les ans voire plus, aucun arrêt de travail donc petite victoire pour ces 1 an et demi sans rechute ;)
Les débuts ont été très difficiles mais dus aux faits que j'ai switché de la quiétapine (qui n'agissait plus) vers l'abilify + rechute mixte à ce moment là.
Avec du recul, je dirais que les effets négatifs vraiment dus à l'abilify étaient : impatiences dans les jambes, perte du contrôle des impulsions (achats ++), ceux positifs : regain net d'énergie, disparition progressive des symptômes mixtes (irritabilité), et surtout sensation de revivre car plus du tout ""cassée"" comme sous quiétapine, et ceux dus au sevrage de la quiétapine : insomnies, mal être, angoisses.
J'ai depuis une nette amélioration sous Abilify, j'apprécie les effets qu'il a sur moi : regain d'énergie, plus du tout fatiguée avec des nuits normales de 8h à 9h (au début avec l'aide d'un somnifère, habituée à la quiétapine qui me sédatait énormément), aucune prise de poids (au contraire, j'ai perdu quelques kilos), surtout, grand retour de mon intuition (j'étais trop cassée avec la quiétapine), aucun symptômes mixtes. En revanche, effet secondaire de l'acné, je ne l'ai vu nulle part mais j'ai 39 ans donc pas à l'âge de faire de l'acné hormonale, et quelques problèmes liés à l'impulsivité (voir ci-dessous).
J'ai pu arrêter l'antidépresseur que je prenais depuis 10 ans (et maintenant, avec du recul, je dirais de faire attention aux effets de déshinibition de l'antidépresseur couplé au problème d'impulsivité de l'abilify qui m'ont causé quelques soucis (que je dois traiter aujourd'hui avec un psychologue car angoisses et culpabilité en conséquences actuelles).
En résumé : très bon médicament passé les premières semaines difficiles mais plus dues au sevrage de la quiétapine et à la crise mixte qu'a l'abilify à proprement parler, stable au point que j'en oublierai presque de le prendre. Attention à l'impulsivité et aux problèmes de peaux, sinon pas de soucis !"
https://www.carenity.com/donner-mon-avis/medicaments/abilify-4,"Je prends ce médicament depuis janvier 2024. Il a considérablement amélioré ma qualité de vie en réduisant fortement l'immense sentiment de vide que je ressentais depuis au moins 5 ans. De plus, je n'ai aucun effet secondaire. Il a même boosté ma libido !"
https://www.carenity.com/donner-mon-avis/medicaments/abilify-4,"J'ai commencé à le prendre le soir à la place du matin et j'ai passé une nuit horrible, réveil intempestif toutes les 2/3h, difficulté à trouver le sommeil, sommeil agité quand il arrive enfin, un rien me réveille. Et au moment du levé, grosse sensation de vertiges, fatigue, tête lourde, trouble de la vision. Alors après 5h éveillée, certains effets se sont légèrement dissipés et ne sont moins handicapants. Le côté tête lourde s'est calmé, les vertiges/lenteur aussi. Mais j'ai promené mon chien à 2 à l'heure ce matin, le pauvre... ﻿😂

Lorsque je le prenais le matin, je passais la journée dans un brouillard monstre avec une sorte de filtre émotionnel, j'étais vide, pas super agréable... Et agitée +++ aussi

Globalement le plus gênant c'est la perte d'acuité visuelle, les agitations/insomnies. Mais je ressens un réel apaisement de ma pathologie, mes crises psychotiques sont moins violentes et mes humeurs plus stables. (Je suis cyclothymique, donc les phases dépressives et d'hypomanie, j'en ai plusieurs par jour, un régal. Mais je ne fais pas de manie, seulement de l'hypo et parfois j'ai des phases mixtes.)"
https://www.carenity.com/donner-mon-avis/medicaments/abilify-4,"Médicament efficace mais qui fatigue j'ai l'impression et insomnies qui je me pose la question ❓️ viendrai des effets secondaires de ce médicament. Y a til des patients qui ont le même souci avec ce traitement ? Merci d'avance pour vos réponses.
Cris123"
https://www.carenity.com/donner-mon-avis/medicaments/abilify-4,"Bonjour à tous , mon psychiatre dit que je suis bipolaire , je n’ai pas l’impression de l’être mais il m’a prescrit de l’abilify.
je vois tout les effet secondaire et avis et ça me fait un peu peur du coup je ne le prend pas , je prend du temesta 3 fois par jours et ça calme mes angoisse .
si vous pouvez me donner votre retour sur abilify je veux bien ."
https://www.carenity.com/donner-mon-avis/medicaments/abilify-4,"Ne commencez jamais ce medoc, impossible de se sevrer."
https://www.carenity.com/donner-mon-avis/medicaments/abilify-4,"Une vraie saloperie.
A ne jamais prendre. M a rendu grabataire. Heureusement que neurologue et médecins ont réussi à convaincre les psychiatres de l arrêter. Depuis j ai récupéré mes capacités.
Je suis soigné pour bipolarité .
Petit frère"
https://www.carenity.com/donner-mon-avis/medicaments/abilify-4,"L'abilify est un traitement lourd qui coupe la libido, rend zombie, constipe, provoque des insomnies et fatigue énormément. Sous le traitement on a envie de rien faire même se faire à manger c'est fatiguant sous oublier la prise de poid bref une cochonnerie de médicament."
https://www.carenity.com/donner-mon-avis/medicaments/abilify-4,"Bonjour,
pour ma part tout s'est bien passé au début du traitement, je l'ai bien supporté. Ensuite cela s'est compliqué notamment en augmentant la dose, avec des crises suicidaires impulsives. J'ai vu que c'était dans les effets secondaires. J'ai baissé le traitement à 5 mg, je compte l'arrêter."
https://www.carenity.com/donner-mon-avis/medicaments/abilify-4,"je ne suis pas sure qu'il marche, j'ai fait quand même des dépressions sous traitement"
https://www.carenity.com/donner-mon-avis/medicaments/abilify-4,Je ne sais pas si ma prise de poids a un rapport avec ce médicament...
https://www.carenity.com/donner-mon-avis/medicaments/abilify-4,"Avec mon psychiatre, je l'ai arrêté"
https://www.carenity.com/donner-mon-avis/medicaments/acadione-8,"ACADIONE m'a été prescrit dès qu'il a été commercialisé, à la fin de l année 1987, par l urologue qui me suivait alors. Avant sa mise sur le marché il était connu sous le nom de TIOPRONINE. Il était surtout administré aux patients souffrant de rhumatismes.
J'ai pris ce traitement pendant 30 ans. Il me convenait tout à fait. Durant ces 30 années il n y a eu aucune suspicion de récidive. Je n'ai pas eu de colique nephretique. Je n'ai subi aucune intervention chirurgicale.
Il n a plus été commercialisé en 2017.
En 2018 une échographie rénale faisait état de cristaux de cystine et de lysine dans mes 2 reins.
Je donne donc la note de 10 sur 10 à ACADIONE."
https://www.carenity.com/donner-mon-avis/medicaments/acarbose-10,"Aussi efficace qu'Ozempic, mais combiné à du Stagid et 4mg de Glimépiride, avec moins d'effets secondaire ....."
https://www.carenity.com/donner-mon-avis/medicaments/acarbose-10,Très efficace
https://www.carenity.com/donner-mon-avis/medicaments/acarbose-10,"A été supprimé par mon diabétologue, efficacité nulle, effets indésirables maxi, bullshit !"
https://www.carenity.com/donner-mon-avis/medicaments/acebutolol-13,Ça le convient parfaitement.
https://www.carenity.com/donner-mon-avis/medicaments/aceclofenac-14,pour le moment cela fais effet sur mon dos.je peine moin le matin au réveil. J arrive à bouger plus que d habitudes.Par contre ne fais effet que 8h sur moi.
